id,user_id,team_id,type,name,description,date,value,category,icon,requirements
1,13547,,standard,Hint 3,Hint for Text Gibberish,2024-11-08 17:21:00.622321,-15,hints,,
2,13601,,standard,Hint 2,Hint for Mime Records,2024-11-08 17:54:17.867070,-25,hints,,
3,13601,,standard,Hint 3,Hint for Text Gibberish,2024-11-08 17:56:03.358612,-15,hints,,
4,13589,,standard,Hint 2,Hint for Mime Records,2024-11-08 18:05:12.080928,-25,hints,,
5,13578,,standard,Hint 3,Hint for Text Gibberish,2024-11-08 18:49:14.442596,-15,hints,,
6,13602,,standard,Hint 3,Hint for Text Gibberish,2024-11-08 19:14:22.649618,-15,hints,,
7,13605,,standard,Hint 1,Hint for It's me mario,2024-11-08 19:15:19.976630,-25,hints,,
8,13605,,standard,Hint 2,Hint for Mime Records,2024-11-08 19:15:29.163525,-25,hints,,
9,13589,,standard,Hint 1,Hint for It's me mario,2024-11-08 19:16:19.918507,-25,hints,,
10,13538,,standard,Hint 3,Hint for Text Gibberish,2024-11-08 19:30:57.414749,-15,hints,,
11,13596,,standard,Hint 3,Hint for Text Gibberish,2024-11-08 19:40:40.979637,-15,hints,,
12,13607,,standard,Hint 3,Hint for Text Gibberish,2024-11-08 19:52:09.802676,-15,hints,,
13,13572,,standard,Hint 2,Hint for Mime Records,2024-11-08 19:58:11.326162,-25,hints,,
14,13596,,standard,Hint 2,Hint for Mime Records,2024-11-08 20:34:32.904644,-25,hints,,
15,13608,,standard,Hint 3,Hint for Text Gibberish,2024-11-08 21:10:07.908949,-15,hints,,
16,13608,,standard,Hint 2,Hint for Mime Records,2024-11-08 21:14:57.728302,-25,hints,,
17,13547,,standard,Hint 1,Hint for It's me mario,2024-11-09 05:22:23.759651,-25,hints,,
18,13598,,standard,Hint 2,Hint for Mime Records,2024-11-09 05:27:07.390545,-25,hints,,
19,13612,,standard,Hint 3,Hint for Text Gibberish,2024-11-09 05:59:37.279114,-15,hints,,
20,13550,,standard,Hint 3,Hint for Text Gibberish,2024-11-09 06:01:58.360376,-15,hints,,
21,13578,,standard,Hint 2,Hint for Mime Records,2024-11-09 06:17:20.956493,-25,hints,,
22,13547,,standard,Hint 2,Hint for Mime Records,2024-11-09 07:22:56.813525,-25,hints,,
23,13620,,standard,Hint 3,Hint for Text Gibberish,2024-11-09 09:06:07.509095,-15,hints,,
24,13619,,standard,Hint 1,Hint for It's me mario,2024-11-09 09:23:06.254111,-25,hints,,
25,13619,,standard,Hint 2,Hint for Mime Records,2024-11-09 09:40:37.658027,-25,hints,,
26,13620,,standard,Hint 2,Hint for Mime Records,2024-11-09 09:48:06.013693,-25,hints,,
27,13623,,standard,Hint 3,Hint for Text Gibberish,2024-11-09 10:39:55.694639,-15,hints,,
28,13623,,standard,Hint 2,Hint for Mime Records,2024-11-09 10:40:21.036147,-25,hints,,
29,13557,,standard,Hint 2,Hint for Mime Records,2024-11-09 10:41:49.431241,-25,hints,,
30,13598,,standard,Hint 1,Hint for It's me mario,2024-11-09 10:58:10.049313,-25,hints,,
31,13548,,standard,Hint 3,Hint for Text Gibberish,2024-11-09 13:30:57.681019,-15,hints,,
32,13611,,standard,Hint 3,Hint for Text Gibberish,2024-11-09 13:44:35.333534,-15,hints,,
33,13627,,standard,Hint 2,Hint for Mime Records,2024-11-09 15:26:21.230923,-25,hints,,
34,13518,,standard,Hint 3,Hint for Text Gibberish,2024-11-09 15:28:21.118617,-15,hints,,
35,13631,,standard,Hint 3,Hint for Text Gibberish,2024-11-09 16:20:15.497288,-15,hints,,
36,13631,,standard,Hint 2,Hint for Mime Records,2024-11-09 16:25:12.958594,-25,hints,,
37,13624,,standard,Hint 3,Hint for Text Gibberish,2024-11-09 21:44:25.019556,-15,hints,,
38,13631,,standard,Hint 1,Hint for It's me mario,2024-11-10 06:54:09.615311,-25,hints,,
39,13530,,standard,Hint 3,Hint for Text Gibberish,2024-11-10 08:31:17.840059,-15,hints,,
40,13633,,standard,Hint 1,Hint for It's me mario,2024-11-10 09:25:09.640117,-25,hints,,
41,13550,,standard,Hint 1,Hint for It's me mario,2024-11-10 10:25:05.942996,-25,hints,,
42,13572,,standard,Hint 1,Hint for It's me mario,2024-11-10 11:18:31.002096,-25,hints,,
43,13639,,standard,Hint 1,Hint for It's me mario,2024-11-10 14:20:10.335607,-25,hints,,
44,13639,,standard,Hint 3,Hint for Text Gibberish,2024-11-10 14:27:24.379862,-15,hints,,
45,13594,,standard,Hint 3,Hint for Text Gibberish,2024-11-10 15:54:51.994404,-15,hints,,
46,13594,,standard,Hint 1,Hint for It's me mario,2024-11-10 15:55:19.680551,-25,hints,,
47,13556,,standard,Hint 3,Hint for Text Gibberish,2024-11-10 16:06:31.125289,-15,hints,,
48,13586,,standard,Hint 3,Hint for Text Gibberish,2024-11-10 16:24:54.812339,-15,hints,,
49,13556,,standard,Hint 1,Hint for It's me mario,2024-11-10 16:29:21.678688,-25,hints,,
50,13556,,standard,Hint 2,Hint for Mime Records,2024-11-10 16:30:11.513096,-25,hints,,
51,13586,,standard,Hint 2,Hint for Mime Records,2024-11-10 16:31:18.822437,-25,hints,,
52,13539,,standard,Hint 3,Hint for Text Gibberish,2024-11-11 02:57:16.171761,-15,hints,,
